segment,decisionCount,executedCount,wins,losses,stake,pnl,maximumSinglePositionContribution,roiPct,pnlSharePct,averageContribution
"TOTAL","18","18","12","6","18","8.39364646","1.5974026","46.63136923","49.88277118","0.46631369"
"MONEYLINE","89","89","40","49","89","4.84921988","2.27868852","5.44856166","28.8185268","0.05448562"
"HANDICAP","6","6","4","2","6","2.92066997","1.5974026","48.67783289","17.35730861","0.48677833"
"SPREAD","8","8","4","4","8","1.55794504","1.4691358","19.47431302","9.25874307","0.19474313"
"HALF_FULL_TIME","2","2","1","1","2","0.10526316","1.10526316","5.26315789","0.62557055","0.05263158"
"BOTH_TEAMS_TO_SCORE","1","1","0","1","1","-1","-1","-100","-5.94292021","-1"
