profile,segment,decisionCount,executedCount,wins,losses,stake,pnl,maximumSinglePositionContribution,roiPct,pnlSharePct,averageContribution
"FIXED","historical:v1:cfebc33035d2c2604e12870210555eb87532f158d90df409a7c7d1b888b0b9cb","1","1","1","0","1","1.24719101","1.24719101","124.719101","3.35941499","1.24719101"
"FIXED","historical:v1:e68e2f4015831cf03f64988318735c861f3c48aba456da9916be9848fa5129d5","1","1","1","0","1","1.24719101","1.24719101","124.719101","3.35941499","1.24719101"
"FIXED","historical:v1:56781be8d29459721cdc6bc2ee536ba3ed6b0c5cff772b89755732175a94b7a2","1","1","1","0","1","1.1978022","1.1978022","119.78022","3.22638203","1.1978022"
"FIXED","historical:v1:6253c36b3fdfc0fbc3f4c08657f6b3bcdf4d03e6961a50eec251c32f9a4c9450","1","1","1","0","1","1.1978022","1.1978022","119.78022","3.22638203","1.1978022"
"FIXED","historical:v1:7d238c475936103e5447f51b82d8b43e350a05c7a52f9cdc0638a16c5b0e9496","1","1","1","0","1","1.1978022","1.1978022","119.78022","3.22638203","1.1978022"
"FIXED","historical:v1:a38e583c263cc83629432ff8db774e8197d43ddc63fc97e7f535f8859d725660","1","1","1","0","1","1.1978022","1.1978022","119.78022","3.22638203","1.1978022"
"FIXED","historical:v1:b1300353272ce7d3fb8950ec9f506cf8fb277a4365a8889a8187cd2e6fbc0d20","1","1","1","0","1","1.1978022","1.1978022","119.78022","3.22638203","1.1978022"
"FIXED","historical:v1:c5a615b145483c21773ae1acae5019ef88649402d8825ea3f6a02620a06a178d","1","1","1","0","1","1.1978022","1.1978022","119.78022","3.22638203","1.1978022"
"FIXED","historical:v1:0923ae9aaeae31fd6bee9e13ceaa0152e9ca9357407768b30acf8634f80b02c4","1","1","1","0","1","1.15053763","1.15053763","115.053763","3.0990709","1.15053763"
"FIXED","historical:v1:14e1c9ef7305223f2ffbe1f51f15583adf263df421ea88f1638fbcd9514706a2","1","1","1","0","1","1.15053763","1.15053763","115.053763","3.0990709","1.15053763"
"FIXED","historical:v1:615a7d4deb0f2990d714fde0147eb724025a7e8af7b802a0c5cf3bf5da0e8e59","1","1","1","0","1","1.15053763","1.15053763","115.053763","3.0990709","1.15053763"
"FIXED","historical:v1:7bc14e55a36d7c869b782b948b90b4fb9d4319087012946c317305ba941be15b","1","1","1","0","1","1.15053763","1.15053763","115.053763","3.0990709","1.15053763"
"FIXED","historical:v1:8c025a070eb5840167bd2e9e6b960a343f2180822bc3f5085cb6845ed8d9a057","1","1","1","0","1","1.15053763","1.15053763","115.053763","3.0990709","1.15053763"
"FIXED","historical:v1:b0feea86b9d57a45e92df19d8d0a4e571e366da714d6eb59230e457247ed9cbc","1","1","1","0","1","1.15053763","1.15053763","115.053763","3.0990709","1.15053763"
"FIXED","historical:v1:c6e9fc9bbdb612d59385efd0976db769b18571edf47b58ef9068a59784400281","1","1","1","0","1","1.15053763","1.15053763","115.053763","3.0990709","1.15053763"
"FIXED","historical:v1:2ec4f41220ace977fd1dd3fc5bbc9d5a92ddeddc1807c5d17036ccce83f1ece2","1","1","1","0","1","1.10526316","1.10526316","110.526316","2.97712026","1.10526316"
"FIXED","historical:v1:51827a50849e50991750d7bb9e11c44d032395a871cf08f0baa3c74302f2b0c1","1","1","1","0","1","1.10526316","1.10526316","110.526316","2.97712026","1.10526316"
"FIXED","historical:v1:1323669158f0d97b4f31e669253c8da172797027cc3bb6a8be553599e84d60be","1","1","1","0","1","1.06185567","1.06185567","106.185567","2.8601985","1.06185567"
"FIXED","historical:v1:e97f5a005caa5fb61893492d73f571cdf28c57d6767064a9b671221b7f524b2f","1","1","1","0","1","1.06185567","1.06185567","106.185567","2.8601985","1.06185567"
"FIXED","historical:v1:2599da6e671b59601beb25786ca05bc71353b17afff811fda8e497ca1013b813","1","1","1","0","1","1.02020202","1.02020202","102.020202","2.74800085","1.02020202"
"FIXED","historical:v1:33cadd30e7645b92f98da847c8ae2c51a879187b4796c23b9a749528977d2723","1","1","1","0","1","1.02020202","1.02020202","102.020202","2.74800085","1.02020202"
"FIXED","historical:v1:52a39188184bdd05329d8e89a89f54db585809f6d430e18da73eaf50ed324c2c","1","1","1","0","1","1.02020202","1.02020202","102.020202","2.74800085","1.02020202"
"FIXED","historical:v1:5f0c50016ba030d88e1e5312d14bd611bb09301f714c49f7ea32d8787f9b54a7","1","1","1","0","1","1.02020202","1.02020202","102.020202","2.74800085","1.02020202"
"FIXED","historical:v1:04ab2bc5ce518fdb4b3a49031fa26efee5ab0a81690071682fc3da00d4f44a60","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"FIXED","historical:v1:0a03f686638ceec8b444f8dda351368fe0c51d3f59909c073df0f83539492485","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"FIXED","historical:v1:0b8ac889027c430ec250d68a630d93f702bdf33de7386bb3b85e74e56db2c9ca","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"FIXED","historical:v1:0fafd67281e9d0429346d425660b69e3ed7be40adecd5daac0360c0ae7c4ac75","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"FIXED","historical:v1:14dddd99f7309535765058d4b5f5bf637619aaa250f34115141930886616c3bf","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"FIXED","historical:v1:170894fdc7a907250557679c5ae2b595cafda4dcc09bfb9ab5893468d166a2c5","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"FIXED","historical:v1:20439111c34db82fa710b64a2e3b49846da770ce1cf984e956fac8acd8c4317c","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"FIXED","historical:v1:2adb0d4c0484b27e4b0309acf37eb3a9ace683434aec9f9b8ab5508bbc08edbf","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"FIXED","historical:v1:309527c6b8ee1c605d3c6e9deaf2ea4e3bf4517b7bee770b8021e91eabb20feb","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"FIXED","historical:v1:3658d9f1579362193e2333eaa34dc5e94cbe0c9f337365167c352de0fe539e64","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"FIXED","historical:v1:4251c5c5617cde79e831653193bd2b87e0b495becaa218f04e4255a8e490cb75","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"FIXED","historical:v1:48d3531fe554aafc5443faa6950a6deaaad7465526663399f0179c3d15100c73","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"FIXED","historical:v1:55c07e91e5c1cbfdf27126b78224aa0d997c2c8cd5b6d9e4e7760dda726c1826","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
