segment,decisionCount,executedCount,wins,losses,stake,pnl,maximumSinglePositionContribution,roiPct,pnlSharePct,averageContribution
"SOCCER COMPETITION UNSPECIFIED","29","29","17","12","29","12.56071231","2.27868852","43.31280108","74.64731104","0.43312801"
"MLB","75","75","34","41","75","2.6598476","1.89855072","3.54646346","15.80726203","0.03546463"
"TENNIS COMPETITION UNSPECIFIED","6","6","4","2","6","2.42971384","1.17391304","40.4952306","14.43959546","0.40495231"
"ESPORTS COMPETITION UNSPECIFIED","7","7","4","3","7","1.92066997","1.5974026","27.43814248","11.4143884","0.27438142"
"NBA","3","3","2","1","3","1.25580079","1.15053763","41.86002641","7.46312391","0.41860026"
"NHL","2","2","0","2","2","-2","-1","-100","-11.88584042","-1"
"WNBA","2","2","0","2","2","-2","-1","-100","-11.88584042","-1"
