profile,segment,decisionCount,executedCount,wins,losses,stake,pnl,maximumSinglePositionContribution,roiPct,pnlSharePct,averageContribution
"FIXED","MONEYLINE","74","74","45","29","74","32.13647255","2.07692308","43.42766561","86.56232029","0.43427666"
"FIXED","TOTAL","7","7","5","2","7","4.00369674","1.53164557","57.19566771","10.78429747","0.57195668"
"FIXED","HANDICAP","1","1","1","0","1","1.98507463","1.98507463","198.507463","5.34696724","1.98507463"
"FIXED","HALF_FULL_TIME","1","1","0","1","1","-1","-1","-100","-2.693585","-1"
"DYNAMIC_LEDGER","MONEYLINE","74","74","45","29","90.69996164","37.57901456","2.93680431","41.43222762","85.33336249","0.50782452"
"DYNAMIC_LEDGER","TOTAL","7","7","5","2","9.35469984","5.68784467","1.83317486","60.80200078","12.91579667","0.81254924"
"DYNAMIC_LEDGER","HANDICAP","1","1","1","0","1.04293943","2.0703126","2.0703126","198.5074627","4.70120725","2.0703126"
"DYNAMIC_LEDGER","HALF_FULL_TIME","1","1","0","1","1.29927919","-1.29927919","-1.29927919","-100","-2.95036641","-1.29927919"
